#,phrase,&, total freq,&,word1,&,freq1,&,word2,&,freq2,&,word3,&,freq3,&,word4,&,freq4, \\ \hline
73, ah gneiss cold our ,&,755584,&, ah ,&,229296,&, gneiss ,&,21,&, cold ,&,52844,&, our ,&,473423, \\ \hline
199, et nice cold our ,&,723706,&, et ,&,6731,&, nice ,&,190708,&, cold ,&,52844,&, our ,&,473423, \\ \hline
239, o' nice cold our ,&,717438,&, o' ,&,463,&, nice ,&,190708,&, cold ,&,52844,&, our ,&,473423, \\ \hline
83, ah ne scold our ,&,710039,&, ah ,&,229296,&, ne ,&,7103,&, scold ,&,217,&, our ,&,473423, \\ \hline
79, ah knee scold our ,&,709075,&, ah ,&,229296,&, knee ,&,6139,&, scold ,&,217,&, our ,&,473423, \\ \hline
103, ah nigh scold our ,&,704330,&, ah ,&,229296,&, nigh ,&,1394,&, scold ,&,217,&, our ,&,473423, \\ \hline
107, ah nye scold our ,&,702973,&, ah ,&,229296,&, nye ,&,37,&, scold ,&,217,&, our ,&,473423, \\ \hline
5, 'n' aye scold our ,&,604143,&, 'n' ,&,0,&, aye ,&,130503,&, scold ,&,217,&, our ,&,473423, \\ \hline
167, eh niece cold our ,&,594923,&, eh ,&,66963,&, niece ,&,1693,&, cold ,&,52844,&, our ,&,473423, \\ \hline
143, eh gneiss cold our ,&,593251,&, eh ,&,66963,&, gneiss ,&,21,&, cold ,&,52844,&, our ,&,473423, \\ \hline
9, 'n' e scold our ,&,582603,&, 'n' ,&,0,&, e ,&,108963,&, scold ,&,217,&, our ,&,473423, \\ \hline
153, eh ne scold our ,&,547706,&, eh ,&,66963,&, ne ,&,7103,&, scold ,&,217,&, our ,&,473423, \\ \hline
149, eh knee scold our ,&,546742,&, eh ,&,66963,&, knee ,&,6139,&, scold ,&,217,&, our ,&,473423, \\ \hline
88, ah nice cold hour ,&,544661,&, ah ,&,229296,&, nice ,&,190708,&, cold ,&,52844,&, hour ,&,71813, \\ \hline
173, eh nigh scold our ,&,541997,&, eh ,&,66963,&, nigh ,&,1394,&, scold ,&,217,&, our ,&,473423, \\ \hline
177, eh nye scold our ,&,540640,&, eh ,&,66963,&, nye ,&,37,&, scold ,&,217,&, our ,&,473423, \\ \hline
23, 'n' ice cold our ,&,538469,&, 'n' ,&,0,&, ice ,&,12202,&, cold ,&,52844,&, our ,&,473423, \\ \hline
207, et niece cold our ,&,534691,&, et ,&,6731,&, niece ,&,1693,&, cold ,&,52844,&, our ,&,473423, \\ \hline
183, et gneiss cold our ,&,533019,&, et ,&,6731,&, gneiss ,&,21,&, cold ,&,52844,&, our ,&,473423, \\ \hline
247, o' niece cold our ,&,528423,&, o' ,&,463,&, niece ,&,1693,&, cold ,&,52844,&, our ,&,473423, \\ \hline
223, o' gneiss cold our ,&,526751,&, o' ,&,463,&, gneiss ,&,21,&, cold ,&,52844,&, our ,&,473423, \\ \hline
13, 'n' eye scold our ,&,500390,&, 'n' ,&,0,&, eye ,&,26750,&, scold ,&,217,&, our ,&,473423, \\ \hline
193, et ne scold our ,&,487474,&, et ,&,6731,&, ne ,&,7103,&, scold ,&,217,&, our ,&,473423, \\ \hline
189, et knee scold our ,&,486510,&, et ,&,6731,&, knee ,&,6139,&, scold ,&,217,&, our ,&,473423, \\ \hline
213, et nigh scold our ,&,481765,&, et ,&,6731,&, nigh ,&,1394,&, scold ,&,217,&, our ,&,473423, \\ \hline
233, o' ne scold our ,&,481206,&, o' ,&,463,&, ne ,&,7103,&, scold ,&,217,&, our ,&,473423, \\ \hline
217, et nye scold our ,&,480408,&, et ,&,6731,&, nye ,&,37,&, scold ,&,217,&, our ,&,473423, \\ \hline
1, 'n' ay scold our ,&,480273,&, 'n' ,&,0,&, ay ,&,6633,&, scold ,&,217,&, our ,&,473423, \\ \hline
229, o' knee scold our ,&,480242,&, o' ,&,463,&, knee ,&,6139,&, scold ,&,217,&, our ,&,473423, \\ \hline
253, o' nigh scold our ,&,475497,&, o' ,&,463,&, nigh ,&,1394,&, scold ,&,217,&, our ,&,473423, \\ \hline
257, o' nye scold our ,&,474140,&, o' ,&,463,&, nye ,&,37,&, scold ,&,217,&, our ,&,473423, \\ \hline
29, 'n' ice-cold our ,&,473472,&, 'n' ,&,0,&, ice-cold ,&,49,&, our ,&,473423,&, ,&,, \\ \hline
86, ah nice coal dour ,&,440571,&, ah ,&,229296,&, nice ,&,190708,&, coal ,&,20448,&, dour ,&,119, \\ \hline
87, ah nice coal dower ,&,440544,&, ah ,&,229296,&, nice ,&,190708,&, coal ,&,20448,&, dower ,&,92, \\ \hline
90, ah nice cole dour ,&,422196,&, ah ,&,229296,&, nice ,&,190708,&, cole ,&,2073,&, dour ,&,119, \\ \hline
91, ah nice cole dower ,&,422169,&, ah ,&,229296,&, nice ,&,190708,&, cole ,&,2073,&, dower ,&,92, \\ \hline
92, ah nice kohl dour ,&,421035,&, ah ,&,229296,&, nice ,&,190708,&, kohl ,&,912,&, dour ,&,119, \\ \hline
93, ah nice kohl dower ,&,421008,&, ah ,&,229296,&, nice ,&,190708,&, kohl ,&,912,&, dower ,&,92, \\ \hline
158, eh nice cold hour ,&,382328,&, eh ,&,66963,&, nice ,&,190708,&, cold ,&,52844,&, hour ,&,71813, \\ \hline
96, ah niece cold hour ,&,355646,&, ah ,&,229296,&, niece ,&,1693,&, cold ,&,52844,&, hour ,&,71813, \\ \hline
72, ah gneiss cold hour ,&,353974,&, ah ,&,229296,&, gneiss ,&,21,&, cold ,&,52844,&, hour ,&,71813, \\ \hline
